epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.209,0.79908,1.65754,1.38888,0.51065,0.37076,0.40794,0.26755,1.70348,2.33736,2.0622,0.00066497,0.00066497,0.00066497
2,353.759,0.82615,1.37343,1.42459,0.69512,0.49138,0.548,0.39844,1.37887,2.18993,1.86066,0.0012789,0.0012789,0.0012789
3,461.157,0.79586,1.31855,1.40276,0.63891,0.47869,0.53332,0.39467,1.2865,1.85264,1.77689,0.00184004,0.00184004,0.00184004
4,568.277,0.75807,1.21956,1.38235,0.68438,0.50791,0.56768,0.37477,1.34369,1.98441,1.70323,0.0017624,0.0017624,0.0017624
5,675.041,0.72118,1.1695,1.35951,0.6925,0.5584,0.61021,0.45664,1.19317,1.54588,1.62003,0.0016832,0.0016832,0.0016832
6,808.999,0.69785,1.1316,1.3415,0.74585,0.54624,0.64414,0.49078,1.10319,1.49708,1.50347,0.001604,0.001604,0.001604
7,923.546,0.6691,1.09961,1.3153,0.76575,0.54032,0.65138,0.48465,1.10301,1.50181,1.54966,0.0015248,0.0015248,0.0015248
8,1032.87,0.6557,1.0725,1.30925,0.73227,0.57347,0.671,0.49427,1.11583,1.37651,1.45541,0.0014456,0.0014456,0.0014456
9,1140.6,0.6419,1.04549,1.29573,0.77367,0.58855,0.68966,0.51681,1.09926,1.44313,1.42636,0.0013664,0.0013664,0.0013664
10,1248.21,0.61886,1.03696,1.2839,0.79109,0.57644,0.68784,0.5069,1.10776,1.44982,1.46348,0.0012872,0.0012872,0.0012872
11,1358.92,0.61798,1.00183,1.27763,0.7694,0.60286,0.69931,0.53035,1.03325,1.33055,1.45085,0.001208,0.001208,0.001208
12,1466.12,0.61723,1.00258,1.27286,0.80707,0.58026,0.70103,0.52046,1.05208,1.42471,1.40792,0.0011288,0.0011288,0.0011288
13,1575.05,0.59209,0.96024,1.25663,0.76989,0.61643,0.70531,0.53738,1.02093,1.32244,1.35987,0.0010496,0.0010496,0.0010496
14,1684.07,0.58736,0.94958,1.25296,0.76582,0.62924,0.72859,0.55103,1.02543,1.28166,1.37044,0.0009704,0.0009704,0.0009704
15,1794.16,0.57332,0.92891,1.24088,0.79951,0.61417,0.73749,0.557,1.02824,1.23551,1.33174,0.0008912,0.0008912,0.0008912
16,1911.44,0.72204,1.03401,1.44411,0.82236,0.64431,0.74506,0.56923,0.95715,1.18626,1.32999,0.000812,0.000812,0.000812
17,2023.62,0.69805,0.98025,1.4151,0.8177,0.65236,0.75718,0.57499,0.97434,1.18276,1.30926,0.0007328,0.0007328,0.0007328
18,2125.8,0.67561,0.9288,1.38689,0.8051,0.67219,0.77598,0.59082,0.96621,1.14337,1.3059,0.0006536,0.0006536,0.0006536
19,2223.54,0.67273,0.9148,1.38347,0.86531,0.6439,0.77749,0.59774,0.95494,1.13288,1.29966,0.0005744,0.0005744,0.0005744
20,2322.34,0.65861,0.87616,1.36902,0.84091,0.68514,0.79514,0.61501,0.93755,1.05757,1.24788,0.0004952,0.0004952,0.0004952
21,2435.72,0.64823,0.85107,1.36227,0.85236,0.6787,0.8028,0.61886,0.93777,1.05462,1.2411,0.000416,0.000416,0.000416
22,2541.18,0.62664,0.82409,1.33517,0.84228,0.69857,0.81192,0.62627,0.90364,1.04881,1.22924,0.0003368,0.0003368,0.0003368
23,2641.64,0.61556,0.79939,1.32554,0.82526,0.71894,0.8137,0.63577,0.88603,1.02986,1.21098,0.0002576,0.0002576,0.0002576
24,2739.83,0.61114,0.77373,1.31899,0.86474,0.71305,0.83202,0.64738,0.87206,0.96415,1.19461,0.0001784,0.0001784,0.0001784
25,2837.43,0.6028,0.7457,1.3093,0.87969,0.71629,0.83283,0.64966,0.89055,0.97109,1.19187,9.92e-05,9.92e-05,9.92e-05
